year,month,nao,nino34,amo,scand,nino34_cpc,pdo,nao_lag0,nao_lag1,nao_lag2,nao_lag3,nao_lag6,nino34_lag0,nino34_lag1,nino34_lag2,nino34_lag3,nino34_lag6,amo_lag0,amo_lag1,amo_lag2,amo_lag3,amo_lag6,scand_lag0,scand_lag1,scand_lag2,scand_lag3,scand_lag6,nino34_cpc_lag0,nino34_cpc_lag1,nino34_cpc_lag2,nino34_cpc_lag3,nino34_cpc_lag6,pdo_lag0,pdo_lag1,pdo_lag2,pdo_lag3,pdo_lag6
2017,8,-1.53,26.7,0.287,-1.57,-0.16,-0.277,-1.492874287358566,1.2322804326793144,0.33047633641690294,-1.6704509075768592,0.6597913337041564,-0.3354794102166267,0.4872258333391425,0.9965277486015421,1.230458480786211,-0.3740932730269663,1.2683865491709503,1.2404325940352092,1.2692503422807349,1.3105705429028192,0.9017715761157481,-1.5811464924341911,0.04575921082310836,-1.4370325839674665,0.9795226539877354,0.6928675754038,-0.13512076362478725,0.3137278278909355,0.4104728605342722,0.44184277974012215,-0.05349232533217677,-0.281414118430994,-0.41826923749613437,0.10442145578252872,0.2574092386580392,-0.0005190136907292178
2017,9,-0.45,26.29,0.328,0.46,-0.43,0.07,-0.44581629576269716,-1.4904381527168353,1.2305929733605296,0.33181346038974674,0.3499359028716064,-0.7383202534609131,-0.33899763139910627,0.48467931350147503,0.9942790034346698,0.2640394701172929,1.4632002440217629,1.2737435399031733,1.2454250814687315,1.2771200954676534,0.6190366137272697,0.4843929764559969,-1.580826979318276,0.045558451997753546,-1.4348481768150623,-1.0209985454496697,-0.43222782788266495,-0.1374748435781485,0.3114215387747736,0.408850455685704,0.06710946383507996,0.047780530244285656,-0.2817984054498906,-0.4192734526258746,0.10317611118904003,0.007970413565929308
2017,10,0.71,26.15,0.411,0.3,-0.56,-0.518,0.6788015470624953,-0.4439840344862868,-1.489114284501396,1.2313815097660479,1.6765044661234616,-0.8758756633492065,-0.7422733701403945,-0.34215277396786464,0.48255680250633554,0.9610767741671784,1.8575791872563343,1.4688505085583932,1.2787804466055364,1.2532269187282494,1.1701301844844734,0.32159183605085884,0.48290424942360544,-1.579198847690159,0.04623645048413293,-1.4570709904005525,-0.5752793773401618,-0.4346083101553501,-0.13981226035183125,0.30987348352244937,0.275421645123978,-0.5100478657818366,0.047058391217099704,-0.2829044348848076,-0.42008106359842334,0.3324551887093218
2017,11,-0.14,25.74,0.329,-0.08,-0.97,-0.594,-0.14527187224906815,0.6799852036131913,-0.44381754482492647,-1.4866681878118084,-1.6738073797534863,-1.278716506593493,-0.8799772809301033,-0.745725578565995,-0.3440713682240511,1.2261472982424861,1.4679517975547096,1.863823152421399,1.4741475852639656,1.286677366163415,1.3234779606951736,-0.06506087241134385,0.32024563040946696,0.48221197628888,-1.5768699903916976,0.9768217256043747,-1.0264419563984204,-0.5776725718406694,-0.4369662256303271,-0.14102161188793266,0.4398786303520553,-0.5821481346559612,-0.5101975063050624,0.045707017588458174,-0.283826030742375,0.25510707370421076
2017,12,0.73,25.62,0.341,-0.48,-0.98,-0.295,0.6981915098698261,-0.14361294499418492,0.6789085829757261,-0.4420085175683618,0.330569938444572,-1.3966211436405986,-1.2832530196713916,-0.8835309264775522,-0.7475446420329305,0.9905290546199881,1.5249704399500694,1.4736092151109597,1.869646914743224,1.4826014154265292,1.289933134649083,-0.4720637234241888,-0.06606858974911183,0.31973624632008874,0.4824463064695124,-1.4367885511005114,-1.0374459217413048,-1.0288752433097534,-0.580040357060714,-0.43795252837769644,0.4069872333064399,-0.2984904979011814,-0.5822237787739133,-0.5111331381875657,0.04451074982046367,0.10135411338917309
2018,1,1.17,25.57,0.15,0.44,-0.98,0.038,1.124770691631106,0.6993639835804236,-0.14377866584371754,0.6800333504708956,1.231087284301671,-1.445748075743561,-1.4012849432054246,-1.2871037310756823,-0.8853160038213288,0.48002286010457995,0.6174237151572605,1.5307136937417556,1.4789126374263661,1.8792281493006384,1.2659725446161612,0.4640428339053546,-0.4727151372844579,-0.06614361235579044,0.3201356623819293,0.043829517802485986,-1.0374459217413048,-1.0398801865163165,-1.0312741561873187,-0.580919265946842,0.30831304216959343,0.0174225222972858,-0.29885725945567104,-0.5831056753286844,-0.511863967675067,-0.420274028047734
2018,2,1.34,25.97,0.04,0.43,-0.78,-0.329,1.2895853754934188,1.1256971428595361,0.6982659300067718,-0.14215250110959474,-1.4898307176966596,-1.0527326189198685,-1.4504649113446069,-1.405222600714157,-1.2887892776302083,-0.34464099257415665,0.0947528265331296,0.6218007422015854,1.5360932633751747,1.4873800507744102,1.2995173706622516,0.4538677626300335,0.4625719220468381,-0.47233293727776854,-0.06535211732608041,-1.578765626200799,-0.8173666148836176,-1.0398801865163165,-1.0422798586050408,-1.031814361357224,-0.14120271745381804,-0.33074588134486876,0.016731539651267745,-0.299950562102441,-0.5837763461268703,-0.28444319194119766
2018,3,-1.38,26.48,0.109,-0.81,-0.8,-0.778,-1.3474495663035841,1.2904167725810116,1.1241275646897781,0.6993788999198484,-0.4440686386368032,-0.5516379114696572,-1.0570251662311563,-1.4544387963968566,-1.4068790163059752,-0.7471554920959211,0.422610020306448,0.09834302141928852,0.6259683003566395,1.5447236749489803,1.4959942089322114,-0.8078410755097859,0.4524057583584545,0.4619025100427811,-0.47112872754503804,0.4799019627533688,-0.8393745455693864,-0.819781322385056,-1.0422798586050408,-1.0428118027086968,-0.4372252908643573,-0.7567066803512104,-0.3310795392443675,0.0154027914237766,-0.30085790984938104,0.04287139228774769
2018,4,1.2,27.31,0.041,0.32,-0.51,-0.53,1.1538556358421024,-1.3450973029625923,1.2886650144536669,1.1249809877968078,0.6791572981311909,0.263869161439506,-0.5553894912115037,-1.0607092309352675,-1.4560830740875466,-0.8845994675423778,0.09950438006607625,0.42669377354636573,0.10181256249256168,0.6320043235037408,1.8937400034787146,0.3419419786015011,-0.8081985390011185,0.45174777691973167,0.4621574759585645,0.31764244835304034,-0.5202595506257398,-0.841791208798182,-0.8221658102505994,-1.0428118027086968,-0.5797546780620243,-0.5214321187619616,-0.7566031752774471,-0.3321488024024151,0.014231853630230704,-0.5117711884806092
2018,5,2.02,27.73,-0.023,1.69,-0.2,-0.431,1.9488441109426695,1.1547653128103847,-1.3439341817685528,1.289418158112906,-0.14389619001777032,0.6765353911043863,0.2609979798989073,-0.5587040349717383,-1.0624506118349828,-1.2871139670641425,-0.20459504604250894,0.10310172797185486,0.4306011616982105,0.106354435236849,1.5007863269387958,1.735926743320495,0.3405779577862343,-0.8074391303384006,0.45201306070309055,-0.06772389834773984,-0.1791366249963247,-0.5226478558078543,-0.8441772150860436,-0.822862975679242,-1.0292704376854358,-0.4275120316759307,-0.5215700756422494,-0.7573549757756035,-0.3330292370515036,-0.5834596853146146
