date,year,month,chirps_count,ndvi_count,lst_count,era5_count,era5_has_skinT
2002-12,2002,12,31,2,4,1,true
2003-01,2003,1,31,2,4,1,true
2003-02,2003,2,28,2,4,1,true
2003-03,2003,3,31,2,4,1,true
2003-04,2003,4,30,2,3,1,true
2003-05,2003,5,31,2,4,1,true
2003-06,2003,6,30,2,4,1,true
2003-07,2003,7,31,2,4,1,true
2003-08,2003,8,31,2,4,1,true
2003-09,2003,9,30,2,4,1,true
2003-10,2003,10,31,1,3,1,true
2003-11,2003,11,30,2,4,1,true
2003-12,2003,12,31,2,4,1,true
2004-01,2004,1,31,2,4,1,true
2004-02,2004,2,29,2,4,1,true
2004-03,2004,3,31,2,4,1,true
2004-04,2004,4,30,2,4,1,true
2004-05,2004,5,31,2,3,1,true
2004-06,2004,6,30,2,4,1,true
2004-07,2004,7,31,2,4,1,true
2004-08,2004,8,31,2,4,1,true
2004-09,2004,9,30,2,4,1,true
2004-10,2004,10,31,2,4,1,true
2004-11,2004,11,30,1,3,1,true
2004-12,2004,12,31,2,4,1,true
2005-01,2005,1,31,2,4,1,true
2005-02,2005,2,28,2,4,1,true
2005-03,2005,3,31,2,4,1,true
2005-04,2005,4,30,2,3,1,true
2005-05,2005,5,31,2,4,1,true
2005-06,2005,6,30,2,4,1,true
2005-07,2005,7,31,2,4,1,true
2005-08,2005,8,31,2,4,1,true
2005-09,2005,9,30,2,4,1,true
2005-10,2005,10,31,1,3,1,true
2005-11,2005,11,30,2,4,1,true
2005-12,2005,12,31,2,4,1,true
2006-01,2006,1,31,2,4,1,true
2006-02,2006,2,28,2,4,1,true
2006-03,2006,3,31,2,4,1,true
2006-04,2006,4,30,2,3,1,true
2006-05,2006,5,31,2,4,1,true
2006-06,2006,6,30,2,4,1,true
2006-07,2006,7,31,2,4,1,true
2006-08,2006,8,31,2,4,1,true
2006-09,2006,9,30,2,4,1,true
2006-10,2006,10,31,1,3,1,true
2006-11,2006,11,30,2,4,1,true
